,PM25,PM10,SO2,NO2,CO,O3,temperature,humidity,wind_speed
PM25,1.0,0.956,0.764,0.207,0.17,-0.386,0.542,-0.192,-0.116
PM10,0.956,1.0,0.733,0.197,0.162,-0.368,0.517,-0.186,-0.111
SO2,0.764,0.733,1.0,-0.15,-0.001,-0.312,0.422,-0.154,-0.092
NO2,0.207,0.197,-0.15,1.0,0.192,-0.0,0.016,-0.001,-0.001
CO,0.17,0.162,-0.001,0.192,1.0,-0.008,0.076,-0.006,0.005
O3,-0.386,-0.368,-0.312,-0.0,-0.008,1.0,-0.685,0.669,-0.322
temperature,0.542,0.517,0.422,0.016,0.076,-0.685,1.0,-0.529,0.082
humidity,-0.192,-0.186,-0.154,-0.001,-0.006,0.669,-0.529,1.0,-0.656
wind_speed,-0.116,-0.111,-0.092,-0.001,0.005,-0.322,0.082,-0.656,1.0
